USSWAP2 Curncy,,,USSWAP3 Curncy,,,USSWAP5 Curncy,,,USSWAP7 Curncy,,,USSWAP10 Curncy,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
11/30/1988,9.4,,11/30/1988,9.48,,11/30/1988,9.58,,11/30/1988,9.68,,11/30/1988,9.69
12/30/1988,9.57,,12/30/1988,9.73,,12/30/1988,9.74,,12/30/1988,9.78,,12/30/1988,9.71
1/31/1989,9.67,,1/31/1989,9.66,,1/31/1989,9.6,,1/31/1989,9.61,,1/31/1989,9.61
2/28/1989,10.29,,2/28/1989,10.18,,2/28/1989,10.09,,2/28/1989,10.03,,2/28/1989,9.98
3/31/1989,10.59,,3/31/1989,10.38,,3/31/1989,10.19,,3/31/1989,10.1,,3/31/1989,10
4/28/1989,10.05,,4/28/1989,9.93,,4/28/1989,9.81,,4/28/1989,9.85,,4/28/1989,9.8
5/31/1989,9.34,,5/31/1989,9.34,,5/31/1989,9.31,,5/31/1989,9.31,,5/31/1989,9.31
6/30/1989,8.64,,6/30/1989,8.67,,6/30/1989,8.77,,6/30/1989,8.85,,6/30/1989,8.86
7/31/1989,8.21,,7/31/1989,8.29,,7/31/1989,8.38,,7/31/1989,8.5,,7/31/1989,8.66
8/31/1989,8.96,,8/31/1989,8.95,,8/31/1989,9,,8/31/1989,9.03,,8/31/1989,9.08
9/29/1989,9.04,,9/29/1989,9.06,,9/29/1989,9.11,,9/29/1989,9.17,,9/29/1989,9.12
10/31/1989,8.47,,10/31/1989,8.54,,10/31/1989,8.7,,10/31/1989,8.77,,10/31/1989,8.78
11/30/1989,8.25,,11/30/1989,8.37,,11/30/1989,8.56,,11/30/1989,8.64,,11/30/1989,8.72
12/29/1989,8.37,,12/29/1989,8.51,,12/29/1989,8.67,,12/29/1989,8.83,,12/29/1989,8.85
1/31/1990,8.84,,1/31/1990,8.94,,1/31/1990,9.14,,1/31/1990,9.23,,1/31/1990,9.34
2/28/1990,8.94,,2/28/1990,9.07,,2/28/1990,9.26,,2/28/1990,9.35,,2/28/1990,9.4
3/30/1990,9.13,,3/30/1990,9.28,,3/30/1990,9.41,,3/30/1990,9.46,,3/30/1990,9.49
4/30/1990,9.492,,4/30/1990,9.62,,4/30/1990,9.75,,4/30/1990,9.8,,4/30/1990,9.88
5/31/1990,8.95,,5/31/1990,9.11,,5/31/1990,9.27,,5/31/1990,9.35,,5/31/1990,9.42
6/29/1990,8.61,,6/29/1990,8.81,,6/29/1990,9.05,,6/29/1990,9.17,,6/29/1990,9.24
7/31/1990,8.25,,7/31/1990,8.47,,7/31/1990,8.76,,7/31/1990,8.94,,7/31/1990,9.1
8/31/1990,8.52,,8/31/1990,8.76,,8/31/1990,8.99,,8/31/1990,9.32,,8/31/1990,9.51
9/28/1990,8.58,,9/28/1990,8.75,,9/28/1990,9.03,,9/28/1990,9.26,,9/28/1990,9.44
10/31/1990,8.26,,10/31/1990,8.53,,10/31/1990,8.84,,10/31/1990,9.09,,10/31/1990,9.24
11/30/1990,8.17,,11/30/1990,8.37,,11/30/1990,8.68,,11/30/1990,8.87,,11/30/1990,8.95
12/31/1990,7.727,,12/31/1990,7.97,,12/31/1990,8.39,,12/31/1990,8.66,,12/31/1990,8.842
1/31/1991,7.66,,1/31/1991,7.95,,1/31/1991,8.33,,1/31/1991,8.62,,1/31/1991,8.8
2/28/1991,7.51,,2/28/1991,7.87,,2/28/1991,8.32,,2/28/1991,8.54,,2/28/1991,8.67
3/29/1991,7.51,,3/29/1991,7.91,,3/29/1991,8.39,,3/29/1991,8.58,,3/29/1991,8.7
4/30/1991,7.42,,4/30/1991,7.81,,4/30/1991,8.31,,4/30/1991,8.57,,4/30/1991,8.71
5/31/1991,7.2,,5/31/1991,7.58,,5/31/1991,8.18,,5/31/1991,8.44,,5/31/1991,8.58
6/28/1991,7.56,,6/28/1991,7.98,,6/28/1991,8.49,,6/28/1991,8.73,,6/28/1991,8.87
7/31/1991,7.31,,7/31/1991,7.76,,7/31/1991,8.29,,7/31/1991,8.55,,7/31/1991,8.69
8/30/1991,6.64,,8/30/1991,7.13,,8/30/1991,7.73,,8/30/1991,8.08,,8/30/1991,8.26
9/30/1991,6.33,,9/30/1991,6.81,,9/30/1991,7.42,,9/30/1991,7.77,,9/30/1991,8.01
10/31/1991,5.99,,10/31/1991,6.53,,10/31/1991,7.29,,10/31/1991,7.7,,10/31/1991,8.03
11/29/1991,5.64,,11/29/1991,6.2,,11/29/1991,6.98,,11/29/1991,7.48,,11/29/1991,7.89
12/31/1991,5.01,,12/31/1991,5.64,,12/31/1991,6.49,,12/31/1991,6.94,,12/31/1991,7.32
1/31/1992,5.58,,1/31/1992,6.26,,1/31/1992,7.01,,1/31/1992,7.47,,1/31/1992,7.86
2/28/1992,5.6,,2/28/1992,6.36,,2/28/1992,7.13,,2/28/1992,7.47,,2/28/1992,7.82
3/31/1992,5.99,,3/31/1992,6.64,,3/31/1992,7.37,,3/31/1992,7.69,,3/31/1992,8
4/30/1992,5.66,,4/30/1992,6.32,,4/30/1992,7.23,,4/30/1992,7.6,,4/30/1992,7.94
5/29/1992,5.44,,5/29/1992,6.06,,5/29/1992,6.9,,5/29/1992,7.31,,5/29/1992,7.67
6/30/1992,4.99,,6/30/1992,5.66,,6/30/1992,6.53,,6/30/1992,7.04,,6/30/1992,7.46
7/31/1992,4.52,,7/31/1992,5.12,,7/31/1992,5.99,,7/31/1992,6.54,,7/31/1992,7.01
8/31/1992,4.37,,8/31/1992,5.03,,8/31/1992,5.91,,8/31/1992,6.51,,8/31/1992,7
9/30/1992,4,,9/30/1992,4.69,,9/30/1992,5.65,,9/30/1992,6.24,,9/30/1992,6.72
10/30/1992,4.64,,10/30/1992,5.25,,10/30/1992,6.13,,10/30/1992,6.65,,10/30/1992,7.06
11/30/1992,5.15,,11/30/1992,5.81,,11/30/1992,6.59,,11/30/1992,6.98,,11/30/1992,7.3
12/31/1992,4.863,,12/31/1992,5.46,,12/31/1992,6.33,,12/31/1992,6.73,,12/31/1992,7.158
1/29/1993,4.34,,1/29/1993,4.95,,1/29/1993,5.84,,1/29/1993,6.32,,1/29/1993,6.72
2/26/1993,4.15,,2/26/1993,4.69,,2/26/1993,5.53,,2/26/1993,5.96,,2/26/1993,6.36
3/31/1993,4.14,,3/31/1993,4.65,,3/31/1993,5.46,,3/31/1993,6,,3/31/1993,6.37
4/30/1993,3.99,,4/30/1993,4.51,,4/30/1993,5.33,,4/30/1993,5.88,,4/30/1993,6.3
5/31/1993,4.47,,5/31/1993,4.94,,5/31/1993,5.6,,5/31/1993,6.02,,5/31/1993,6.49
6/30/1993,4.2,,6/30/1993,4.64,,6/30/1993,5.29,,6/30/1993,5.66,,6/30/1993,6.12
7/30/1993,4.29,,7/30/1993,4.73,,7/30/1993,5.36,,7/30/1993,5.69,,7/30/1993,6.13
8/31/1993,4,,8/31/1993,4.37,,8/31/1993,4.96,,8/31/1993,5.31,,8/31/1993,5.72
9/30/1993,3.99,,9/30/1993,4.36,,9/30/1993,4.94,,9/30/1993,5.32,,9/30/1993,5.71
10/29/1993,4.09,,10/29/1993,4.48,,10/29/1993,5.06,,10/29/1993,5.4,,10/29/1993,5.79
11/30/1993,4.345,,11/30/1993,4.765,,11/30/1993,5.38,,11/30/1993,5.755,,11/30/1993,6.17
12/31/1993,4.395,,12/31/1993,4.815,,12/31/1993,5.435,,12/31/1993,5.785,,12/31/1993,6.125
1/31/1994,4.245,,1/31/1994,4.635,,1/31/1994,5.22,,1/31/1994,5.585,,1/31/1994,5.935
2/28/1994,4.865,,2/28/1994,5.255,,2/28/1994,5.825,,2/28/1994,6.17,,2/28/1994,6.485
3/31/1994,5.445,,3/31/1994,5.945,,3/31/1994,6.565,,3/31/1994,6.885,,3/31/1994,7.185
4/29/1994,5.995,,4/29/1994,6.415,,4/29/1994,6.95,,4/29/1994,7.235,,4/29/1994,7.46
5/31/1994,6.245,,5/31/1994,6.625,,5/31/1994,7.055,,5/31/1994,7.285,,5/31/1994,7.515
6/30/1994,6.435,,6/30/1994,6.775,,6/30/1994,7.225,,6/30/1994,7.485,,6/30/1994,7.695
7/29/1994,6.185,,7/29/1994,6.545,,7/29/1994,7.005,,7/29/1994,7.255,,7/29/1994,7.465
8/31/1994,6.345,,8/31/1994,6.665,,8/31/1994,7.045,,8/31/1994,7.295,,8/31/1994,7.515
9/30/1994,6.86,,9/30/1994,7.18,,9/30/1994,7.55,,9/30/1994,7.78,,9/30/1994,7.97
10/31/1994,7.105,,10/31/1994,7.455,,10/31/1994,7.785,,10/31/1994,7.985,,10/31/1994,8.165
11/30/1994,7.74,,11/30/1994,7.95,,11/30/1994,8.13,,11/30/1994,8.215,,11/30/1994,8.275
12/30/1994,8.135,,12/30/1994,8.195,,12/30/1994,8.175,,12/30/1994,8.205,,12/30/1994,8.205
1/31/1995,7.555,,1/31/1995,7.695,,1/31/1995,7.855,,1/31/1995,7.905,,1/31/1995,7.985
2/28/1995,6.995,,2/28/1995,7.125,,2/28/1995,7.295,,2/28/1995,7.415,,2/28/1995,7.55
3/31/1995,7.025,,3/31/1995,7.165,,3/31/1995,7.325,,3/31/1995,7.445,,3/31/1995,7.575
4/28/1995,6.795,,4/28/1995,6.935,,4/28/1995,7.125,,4/28/1995,7.265,,4/28/1995,7.445
5/31/1995,6.025,,5/31/1995,6.145,,5/31/1995,6.335,,5/31/1995,6.475,,5/31/1995,6.675
6/30/1995,5.925,,6/30/1995,6.055,,6/30/1995,6.245,,6/30/1995,6.405,,6/30/1995,6.595
7/31/1995,6.035,,7/31/1995,6.205,,7/31/1995,6.435,,7/31/1995,6.605,,7/31/1995,6.805
8/31/1995,5.985,,8/31/1995,6.135,,8/31/1995,6.355,,8/31/1995,6.495,,8/31/1995,6.665
9/29/1995,5.995,,9/29/1995,6.065,,9/29/1995,6.295,,9/29/1995,6.415,,9/29/1995,6.565
