Date,2y,3y,5y,7y,10y
12/2/1988,9.68,9.71,9.78,9.83,9.55
12/9/1988,9.59,9.65,9.71,9.75,9.53
12/16/1988,9.54,9.73,9.74,9.78,9.66
12/23/1988,9.41,9.73,9.74,9.78,9.59
12/30/1988,9.57,9.73,9.74,9.78,9.71
1/6/1989,9.79,9.73,9.74,9.78,9.71
1/13/1989,9.8,9.84,9.83,9.84,9.71
1/20/1989,9.7,9.73,9.68,9.67,9.67
1/27/1989,9.61,9.6,9.56,9.58,9.57
2/3/1989,9.81,9.74,9.64,9.63,9.63
2/10/1989,9.97,9.9,9.81,9.81,9.79
2/17/1989,10.07,9.94,9.85,9.84,9.82
2/24/1989,10.26,10.13,10.06,10,9.96
3/3/1989,10.34,10.21,10.13,10.1,10.05
3/10/1989,10.41,10.36,10.14,10.06,10.01
3/17/1989,10.3,10.36,10.14,10.06,10.01
3/24/1989,10.75,10.56,10.33,10.23,10.13
3/31/1989,10.59,10.38,10.19,10.1,10
4/7/1989,10.48,10.31,10.13,10.09,9.99
4/14/1989,10.36,10.18,10.04,9.97,9.91
4/21/1989,10.2,10.12,10.02,9.98,9.88
4/28/1989,10.05,9.93,9.81,9.85,9.8
5/5/1989,9.83,9.79,9.67,9.75,9.75
5/12/1989,9.49,9.48,9.52,9.52,9.54
5/19/1989,9.5,9.49,9.54,9.47,9.44
5/26/1989,9.41,9.43,9.37,9.38,9.35
6/2/1989,9.04,9.07,9.06,9.13,9.15
6/9/1989,8.78,8.77,8.8,8.84,8.85
6/16/1989,9.07,9.08,9.07,9.09,9.07
6/23/1989,8.97,8.99,9,9.03,9.01
6/30/1989,8.64,8.67,8.77,8.85,8.86
7/7/1989,8.48,8.59,8.65,8.79,8.83
7/14/1989,8.39,8.5,8.65,8.74,8.88
7/21/1989,8.5,8.57,8.69,8.79,8.92
7/28/1989,8.19,8.29,8.4,8.54,8.7
8/4/1989,8.62,8.72,8.79,8.82,8.88
8/11/1989,8.71,8.77,8.95,8.96,9
8/18/1989,8.84,8.86,8.97,9,9.04
8/25/1989,8.95,8.97,9,8.99,9.09
9/1/1989,8.91,8.91,8.92,8.96,9.01
9/8/1989,8.87,8.87,8.93,8.96,9
